activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2019,54930021WPEXNHYZUL09,42340,GA,13051.0,13051010700.0,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,2,2,3,1,1,2,2,2,265000.0,100.0,5.875,2.728,2,14066.34,,3086.84,1596.84,2936.28,360,,,2,2,2,2,255000.0,1,1,3,5,1,,92.0,41,2,10,2.0,,,,,5.0,,,,,2,4,3.0,,,,,8.0,,,,,2,4,1,5,2,4,45-54,9999,No,,1,1,1,1.0,1.0,1.0,1.0,10,,,,21032,53.24,75400,129,4370,6422,10
2019,254900VHUBSJJKOMBF27,12540,CA,6029.0,6029003803.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,6,2,1,1,1,2,2,2,245000.0,56.88,4.124,0.459,2,3892.9,,1505.0,,,360,,,2,2,2,2,435000,1,1,3,5,1,,92.0,46,1,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,45-54,9999,No,,1,1,1,,,,,10,,,,5685,32.49,57900,229,1569,1983,14
2019,549300JZD4L02YZI3Z50,35154,NJ,34035.0,34035051400.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,4,0,2,1,32,1,2,2,2,165000.0,,,,3,,,,,,300,,,2,2,2,2,,1,1,3,5,1,,118.0,,9,9,2.0,,,,,2.0,,,,,3,3,5.0,,,,,5.0,,,,,3,3,1,1,3,3,55-64,45-54,No,No,1,1,1,,,,,10,,,,4417,34.12,108100,83,1120,1679,56
2019,549300AQ3T62GXDU7D76,12420,TX,48491.0,48491020324.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,2,0,2,1,1,1,2,2,2,225000.0,90.0,4.875,0.674,3,,,,,,360,,,2,2,2,2,245000.0,1,1,3,5,1,,47.0,49,1,10,3.0,,,,,5.0,,,,,2,4,6.0,,,,,8.0,,,,,2,4,3,5,2,4,25-34,9999,No,,1,1,1,,,,,10,,,,7823,34.87,95900,137,2020,2300,11
2019,SS1TRMSN6BRNMOREEV51,33700,CA,6099.0,6099002902.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,71,2,2,1,1,2,2,2,175000.0,96.5,4.625,1.664,2,6850.8,,1690.0,,,360.0,,,2,2,2,2,175000.0,1,1,3,5,1,,50.0,43,1,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,25-34,9999,No,,1,1,3,,,,,10,,,,7631,46.1,64500,103,1628,2537,25
2019,54930040HIIQWXRS6K39,42644,WA,53033.0,53033009800.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,1,2,1,31,1,2,2,2,665000.0,69.0,4.5,,2,,,,,,360,,,2,2,2,2,985000,1,1,3,5,1,,138.0,46,1,10,2.0,,,,,5.0,,,,,2,4,2.0,,,,,8.0,,,,,2,4,1,5,2,4,8888,9999,,,1,1,1,,,,,10,,,,6902,16.17,108600,122,1964,2470,74
2019,549300WK15ESCDNJ5M35,0,,,,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,7,0,1,1,1,1,2,2,2,85000.0,96.94,,,3,,,,,,360.0,,,2,2,2,2,85000.0,1,1,3,5,1,,38.0,>60%,3,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,35-44,9999,No,,1,1,2,,,,,8,1.0,,,0,0.0,0,0,0,0,0
2019,5493000YNV8IX4VD3X12,12060,GA,13067.0,13067030215.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,2,1,1,1,2,2,2,185000.0,,,,3,,,,,,360.0,,,2,2,2,2,,1,1,3,5,1,,67.0,,9,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,2,1,2,2,25-34,25-34,No,No,1,1,6,,,,,10,,,,9450,38.37,79200,142,2435,3113,22
2019,549300GS6ONO04ORI292,99999,ID,16087.0,16087970200.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,2,1,1,1,2,2,2,345000.0,80.0,4.125,0.487,2,5266.6,,3283.6,1983.6,,360,,,2,2,2,2,435000,1,1,3,5,1,,132.0,20%-<30%,7,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,45-54,35-44,No,No,1,1,1,,,,,10,,,,3970,22.54,57100,82,946,1478,43
2019,549300TU1SISIUY3SK49,33340,WI,55133.0,55133202301.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,1,1,1111,1111,1111,225000.0,Exempt,Exempt,Exempt,3,Exempt,Exempt,Exempt,Exempt,Exempt,Exempt,Exempt,Exempt,1111,1111,1111,1111,Exempt,1,2,1111,1111,2,Exempt,77.0,Exempt,1111,1111,2.0,,,,,2.0,,,,,3,3,5.0,,,,,5.0,,,,,3,3,1,2,3,3,65-74,65-74,Yes,Yes,1111,1111,1111,,,,,1111,,,,4235,12.59,82300,121,1269,1506,37
2019,549300B81YWV4GBENI49,35614,NY,36081.0,36081072900.0,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,2,1,31,1,2,2,2,765000.0,49.2308,4.25,0.443,2,5699.91,,999.0,,3340.8,240,,,2,2,2,2,1565000,1,1,3,5,1,,344.0,20%-<30%,1,2,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,45-54,35-44,No,No,1,1,6,,,,,10,,,,1147,45.68,79300,150,315,507,74
2019,5493006MCOP60BBI4G97,38940,FL,12111.0,12111382111.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,6,2,1,1,1,2,2,2,195000.0,66.55,4.5,-0.173,2,4464.87,,2293.75,1218.75,,360.0,,,2,2,2,2,295000.0,1,1,3,5,1,,89.0,30%-<36%,2,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,25-34,9999,No,,1,1,1,,,,,10,,,,14187,50.09,59500,96,3305,5155,14
2019,KB1H1DSPRFMYMCUFXT09,41740,CA,6073.0,6073021303.0,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,1,0,2,1,31,1,2,2,2,865000.0,63.539,4.0,-0.345,2,12019.88,,10030.0,8600.0,405.0,360,,,2,2,2,2,1355000.0,1,1,3,5,1,,238.0,30%-<36%,1,10,3.0,,,,,5.0,,,,,2,4,6.0,,,,,8.0,,,,,2,4,1,5,2,4,35-44,9999,No,,1,1,5,,,,,10,,,,8713,53.84,86300,164,2338,2857,19
2019,KB1H1DSPRFMYMCUFXT09,99999,HI,15001.0,15001021604.0,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,1,1,2,2,2,1555000.0,75.0,2.875,-0.455,3,3212.36,,0.0,,,360.0,,120.0,2,2,2,2,2075000.0,1,2,3,5,1,,594.0,36,1,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,65-74,9999,Yes,,1,1,5,,,,,10,,,,7500,54.88,71300,107,1757,2966,27
2019,549300MGPZBLQDIL7538,99999,MT,30093.0,30093000400.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Joint,Joint,1,0,2,2,1,1,2,2,2,125000.0,100.802,3.75,1.162,2,6508.53,,2234.85,,75.0,360,,,2,2,2,2,125000.0,1,1,3,5,1,,52.0,50%-60%,2,2,2.0,,,,,2.0,,,,,2,2,1.0,,,,,5.0,,,,,2,2,1,2,2,2,35-44,45-54,No,No,1,1,1,,,,,10,,,,3933,8.92,65100,97,1221,1810,61
2019,549300FGXN1K3HLB1R50,26140,FL,12017.0,12017450701.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,32,1,2,2,2,195000.0,72.47,,,3,,,,,,180,,,2,2,2,2,265000.0,1,1,3,5,1,,44.0,48,3,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,55-64,9999,Yes,,1,3,2,,,,,7,,,,6808,15.56,52700,118,2897,3772,18
2019,549300KDZ1H5P9KKIW38,42644,WA,53033.0,53033028300.0,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,3,31,1,2,2,2,195000.0,71.621,,,3,,,,,,360,,,2,2,2,2,375000,1,1,3,5,1,,50.0,39,7,10,2.0,,,,,5.0,,,,,3,4,5.0,,,,,8.0,,,,,3,4,1,5,3,4,65-74,9999,Yes,,1,1,2,,,,,3,,,,5018,52.11,108600,98,1505,1737,36
2019,RVDPPPGHCGZ40J4VQ731,28140,KS,20091.0,20091053011.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,3,0,2,1,32,1,2,2,2,265000.0,80.0,,,3,,,,,,360,,,2,2,2,2,325000.0,1,1,3,5,1,,44.0,>60%,3,10,2.0,,,,,5.0,,,,,2,4,2.0,23.0,,,,8.0,,,,,2,4,2,5,2,4,45-54,9999,No,,1,1,1,,,,,1,,,,2166,19.16,82400,181,622,653,0
2019,549300D4ZYLSQ5LMTV35,15804,NJ,34005.0,34005700800.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,71,2,2,1,1,2,2,2,185000.0,98.188,5.25,1.535,2,7187.91,,1420.0,,,360,,,2,2,2,2,195000,1,1,3,5,1,,50.0,50%-60%,1,10,2.0,,,,,5.0,,,,,3,4,5.0,,,,,8.0,,,,,3,4,1,5,3,4,35-44,9999,No,,1,1,3,,,,,10,,,,4542,21.69,97300,104,1445,1803,57
2019,C5654JQHZUHN0772B561,99999,MO,29169.0,29169470102.0,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,2,2,3,32,1,2,2,2,125000.0,83.33,4.125,0.3488,2,1531.94,,312.5,312.5,,180,,,2,2,2,2,155000.0,1,1,3,5,1,,142.0,<20%,2,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,2,1,2,2,45-54,45-54,No,No,1,1,1,,,,,10,,,,2820,7.87,52400,99,773,1303,32
2019,6BYL5QZYBDK8S7L73M02,99999,KY,21065.0,21065920300.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,2,1,1,1,2,2,2,65000.0,92.31,4.99,2.182,2,2242.2,,770.0,,225.0,360.0,,,2,2,2,2,65000.0,1,1,3,5,1,,29.0,20%-<30%,1,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,35-44,9999,No,,1,1,1,,,,,10,,,,5396,1.32,49800,88,1517,2355,31
2019,549300ZJIC4LOLZH0M42,36084,CA,6001.0,6001444601.0,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,0,2,1,31,1,2,2,2,805000.0,84.316,3.25,-0.177,2,3955.25,,1996.25,1001.25,,360,,84,2,2,2,2,955000,1,1,3,5,1,,190.0,36,2,10,2.0,,,,,5.0,,,,,2,4,2.0,21.0,,,,8.0,,,,,2,4,1,5,2,4,25-34,9999,No,,1,1,1,,,,,10,,,,5037,58.75,111700,99,1220,1464,46
2019,549300FGXN1K3HLB1R50,39340,UT,49049.0,49049000603.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,1,1,2,1,1,1,2,2,2,385000.0,95.0,4.25,0.1448,2,2355.61,,0.0,,515.4,360.0,,,2,2,2,2,405000.0,1,1,3,5,1,,80.0,30%-<36%,2,9,3.0,,,,,3.0,,,,,2,2,6.0,,,,,6.0,,,,,2,2,1,2,2,2,45-54,45-54,No,No,2,1,1,,,,,10,,,,4299,14.45,79600,131,839,1123,23
2019,VN1JLT1F3FLLVN3FZG89,38300,PA,42129.0,42129802304.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,4,2,2,1,2,65000.0,89.892,1.99,-2.41,2,,,,,,360.0,,6.0,2,2,2,2,565000.0,1,1,3,5,1,,360.0,20%-<30%,2,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,45-54,9999,No,,1,1,6,,,,,10,,,,6698,4.48,79300,148,2125,2375,24
2019,AD6GFRVSDT01YPT1CS68,41940,CA,6085.0,6085508704.0,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,31,1,2,2,2,1015000.0,68.243,,,3,,,,,,360,,84.0,2,2,2,2,1485000.0,1,1,3,5,1,,153.0,50%-60%,3,10,3.0,,,,,5.0,,,,,2,4,6.0,,,,,8.0,,,,,2,4,3,5,2,4,25-34,9999,No,,1,1,6,,,,,1,,,,5831,73.76,129900,100,765,1013,25
2019,8WH0EE09O9V05QJZ3V89,26420,TX,48157.0,48157674400.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,0,2,1,31,2,2,1,2,75000.0,73.43,3.49,-1.13,2,,,,,,360,,12.0,2,1,2,2,565000.0,1,1,3,5,1,,140.0,42,8,10,2.0,,,,,5.0,,,,,2,4,2.0,,,,,8.0,,,,,2,4,1,5,2,4,45-54,9999,No,,1,1,6,,,,,10,,,,14012,68.21,77100,244,3680,4001,12
2019,549300ZFJ1696ECS0S38,16220,WY,56025.0,56025001401.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,2,1,31,1,1111,1111,1111,65000.0,Exempt,Exempt,Exempt,3,Exempt,Exempt,Exempt,Exempt,Exempt,Exempt,Exempt,Exempt,1111,1111,1111,1111,Exempt,1,1,1111,1111,1,Exempt,131.0,Exempt,1111,1111,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,2,1,2,2,35-44,35-44,No,No,1111,1111,1111,,,,,1111,,,,6087,10.51,75800,100,1851,2487,33
2019,549300RPOGWJRH63HS39,38060,AZ,4013.0,4013050606.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,3,2,1,1,1,2,2,2,335000.0,95.0,5.25,2.319,2,4772.95,,1540.0,,,360.0,,,2,2,2,2,355000.0,1,1,3,5,1,,83.0,47,3,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,>74,>74,Yes,Yes,1,1,1,2.0,,,,10,,,,7689,27.01,72900,136,1909,2774,11
2019,7E1PDLW1JL6TS0BS1G03,29460,FL,12105.0,12105012003.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,1,2,1,1,1,2,2,2,75000.0,,3.875,,2,2522.25,,995.0,,18.4,180,,,2,2,2,2,175000.0,1,1,3,5,1,,157.0,,9,9,4.0,,,,,4.0,,,,,3,3,7.0,,,,,7.0,,,,,3,3,4,4,3,3,8888,8888,,,3,3,6,,,,,10,,,,4814,15.23,58200,111,1504,2588,25
2019,B4TYDEB6GKMZO031MB27,44220,OH,39023.0,39023003200.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,3,0,2,1,2,2,2,1,2,125000.0,133.35,,,3,,,,,,360.0,36.0,1.0,2,2,2,2,205000.0,1,1,3,5,1,,95.0,38,8,10,1.0,12.0,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,25-34,9999,No,,1,1,6,,,,,4,,,,2593,3.12,62200,141,915,1151,48
2019,QFROUN1UWUYU0DVIWD51,16984,IL,17031.0,17031806201.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,6,2,1,31,1,2,2,2,45000.0,,5.125,,2,,,,,,360,,,2,2,2,2,,1,1,3,5,1,,40.0,,9,9,4.0,,,,,5.0,,,,,3,4,7.0,,,,,8.0,,,,,3,4,4,5,3,4,8888,9999,,,3,3,6,,,,,10,,,,4741,46.7,82000,76,1542,573,24
2019,7H6GLXDRUGQFU57RNE97,41700,TX,48029.0,48029181711.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,2 or more minority races,Male,3,0,2,1,32,1,2,2,2,165000.0,97.0,,,3,,,,,,240,,,2,2,2,2,205000.0,1,1,3,5,1,,185.0,>60%,3,10,14.0,,,,,5.0,,,,,2,4,3.0,44.0,,,,8.0,,,,,2,4,1,5,2,4,45-54,9999,No,,1,1,1,2.0,5.0,,,9,4.0,1.0,,8416,69.63,71000,136,2301,2723,19
2019,549300BX448ALT10FI43,26900,IN,18097.0,18097360700.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,2,32,1,2,2,2,105000.0,94.35,,,3,,,,,,360,,,2,2,2,2,115000.0,1,1,3,5,1,,25.0,,3,9,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,65-74,9999,Yes,,1,1,3,,,,,4,,,,1762,17.93,77800,112,627,858,69
2019,635400IW1QMK3FNFF894,33874,PA,42029.0,42029304000.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,2,2,31,1,2,2,2,315000.0,,,,3,,,,,,348,,,2,2,2,2,,1,1,3,5,1,,0.0,,9,9,2.0,,,,,2.0,,,,,3,3,5.0,,,,,5.0,,,,,3,3,1,2,3,3,35-44,35-44,No,No,1,1,6,,,,,10,,,,4865,21.52,110100,119,1152,1131,17
2019,549300MGPZBLQDIL7538,19124,TX,48121.0,48121020107.0,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,1,2,2,3,1,1,2,2,2,335000.0,100.0,3.5,-0.015,2,6709.94,,3349.0,,1290.0,360.0,,,2,2,2,2,335000.0,1,1,3,5,1,,109.0,38,1,3,1.0,,,,,1.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,25-34,25-34,No,No,1,1,1,,,,,10,,,,5737,27.71,83100,114,1515,2038,12
2019,549300E2UX99HKDBR481,31084,CA,6037.0,6037207900.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,31,1,2,2,2,555000.0,74.6,4.25,0.165,2,3401.45,,1419.0,,3452.12,360.0,,,2,2,2,2,755000.0,1,2,3,5,1,,142.0,45,1,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,65-74,55-64,Yes,Yes,1,1,1,,,,,10,,,,4627,73.48,73100,196,613,53,16
2019,549300LBCBNR1OT00651,26420,TX,48201.0,48201542101.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,3,0,2,2,31,1,2,2,2,135000.0,,,,3,,,,,,240,,,2,2,2,2,155000.0,1,1,3,5,1,,,,1,10,2.0,,,,,5.0,,,,,2,4,2.0,23.0,,,,8.0,,,,,2,4,2,5,2,4,55-64,9999,No,,1,1,6,,,,,7,,,,20194,80.42,77100,103,3878,5619,12
2019,5493001SXWZ4OFP8Z903,15980,FL,12071.0,12071001201.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,1,1,2,2,2,165000.0,70.0,3.5,-0.064,2,3081.75,,400.75,400.75,,360,,,2,2,2,2,225000.0,1,1,3,5,1,,81.0,43,3,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,2,1,2,2,65-74,>74,Yes,Yes,1,1,1,,,,,10,,,,9835,59.06,67100,71,398,681,14
2019,2WHM8VNJH63UN14OL754,15940,OH,39151.0,39151711402.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,2,2,2,1,2,75000.0,99.63,8.69,4.08,2,,,,,,360,,1,2,1,2,2,365000,1,1,3,5,1,,116.0,50%-60%,1,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,35-44,9999,No,,1,1,5,,,,,10,,,,6599,10.23,66100,148,1703,2492,30
2019,549300KM40FP4MSQU941,45104,WA,53053.0,53053071209.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,1,31,2,2,1,2,85000.0,48.914,4.84,0.9,2,,,,,,300,,,2,2,2,2,445000,1,1,3,5,1,,49.0,50%-60%,3,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,4120,17.09,80200,130,1264,1417,33
2019,549300JRDGV1559XM376,40140,CA,6065.0,6065940400.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,4,0,2,2,1,1,2,2,2,225000.0,,,,3,,,,,,360,,,2,2,2,2,,1,1,3,5,1,,61.0,,9,9,1.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,3,4,2,5,1,4,25-34,9999,No,,1,1,1,,,,,10,,,,6241,98.57,69700,76,1213,1606,20
2019,549300ZWNETGFXTBBY03,0,UT,,,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,71,2,1,32,1,2,2,2,335000.0,58.26,3.875,0.024,2,,,199.0,,1855.9,360,,,2,2,2,2,575000,1,1,3,5,1,,223.0,<20%,1,1,3.0,,,,,3.0,,,,,2,2,6.0,,,,,6.0,,,,,2,2,3,3,2,2,45-54,45-54,No,No,1,1,1,,,,,10,,,,0,0.0,0,0,0,0,0
2019,7H6GLXDRUGQFU57RNE97,31084,CA,6037.0,6037480201.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,2,2,2,1,2,105000.0,43.02,5.38,0.21,2,,,,,,361,,1.0,2,2,2,1,835000.0,1,1,3,5,1,,320.0,<20%,2,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,65-74,55-64,Yes,Yes,1,1,6,,,,,10,,,,3966,67.2,73100,156,1136,1397,75
2019,549300LYRWPSYPK6S325,15804,NJ,34005.0,34005700303.0,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,4,0,2,3,32,1,2,2,2,325000.0,,,,3,,,,,,360,,,2,2,2,2,,1,1,3,5,1,,79.0,,9,9,2.0,,,,,5.0,,,,,2,4,3.0,,,,,8.0,,,,,2,4,1,5,2,4,45-54,9999,No,,1,1,1,,,,,10,,,,3602,31.12,97300,106,961,1170,19
2019,RVDPPPGHCGZ40J4VQ731,15980,FL,12071.0,12071010410.0,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,3,1,1,2,2,2,235000.0,100.0,3.25,-0.19,2,10102.74,,2036.26,2036.26,50.0,360,,,2,2,2,2,235000.0,1,1,3,5,1,,45.0,41,3,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,<25,9999,No,,1,1,1,,,,,10,,,,11913,19.88,67100,117,3341,5092,14
2019,AD6GFRVSDT01YPT1CS68,38300,PA,42129.0,42129802102.0,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,32,1,2,2,2,705000.0,41.176,3.125,-0.037,2,7456.86,,2214.0,1225.0,230.0,180,,,2,2,2,2,1705000.0,1,1,3,5,1,,496.0,>60%,2,3,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,>74,65-74,Yes,Yes,1,1,6,,,,,10,,,,5903,5.73,79300,139,2094,2303,44
2019,549300FGXN1K3HLB1R50,27260,FL,12031.0,12031013402.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,3,2,1,1,1,2,2,2,125000.0,95.0,4.56,0.6456,2,2407.53,,573.63,,,360,,,2,2,2,2,135000.0,1,1,3,5,1,,79.0,20%-<30%,1,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,55-64,45-54,No,No,2,1,1,,,,,10,,,,4972,54.59,73300,57,1021,2027,35
2019,254900TTZ395IC926125,47894,WV,54037.0,54037972503.0,C,FSA/RHS:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,0,2,4,1,1,2,2,2,175000.0,100.0,3.625,0.355,2,5519.06,,1625.0,,643.43,360.0,,,2,2,2,2,175000.0,1,1,3,5,1,,49.0,43,1,10,2.0,,,,,5.0,,,,,3,4,3.0,,,,,8.0,,,,,2,4,2,5,2,4,35-44,9999,No,,1,1,4,,,,,10,,,,3205,26.65,114700,86,994,1225,20
